blink id,start timestamp [ns],end timestamp [ns],duration [ms],trial_id,trial_type
52,1734859200232870316,1734859200420925316,188,1,noisy
53,1734859200424827316,1734859200840817316,416,1,noisy
54,1734859206632853316,1734859206956880316,324,1,noisy
55,1734859208916842316,1734859209404838316,488,1,noisy
56,1734859211252709316,1734859211600884316,348,1,noisy
57,1734859213384896316,1734859213604833316,220,1,noisy
58,1734859215480878316,1734859215828852316,348,1,noisy
59,1734859216496829316,1734859216792867316,296,1,noisy
60,1734859219372874316,1734859219692919316,320,1,noisy
61,1734859219700729316,1734859220064846316,364,1,noisy
62,1734859221653050316,1734859222028853316,376,1,noisy
63,1734859226900839316,1734859227232817316,332,1,noisy
64,1734859232680841316,1734859233020912316,340,1,noisy
65,1734859243368847316,1734859243620816316,252,1,noisy
66,1734859249352846316,1734859249740717316,388,1,noisy
67,1734859250128800316,1734859250560825316,432,1,noisy
68,1734859250976836316,1734859251417054316,440,1,noisy
69,1734859252548988316,1734859252936854316,388,1,noisy
70,1734859254884937316,1734859255264828316,380,1,noisy
71,1734859256200846316,1734859256608852316,408,1,noisy
72,1734859259876871316,1734859260248867316,372,1,noisy
73,1734859261408851316,1734859261808874316,400,1,noisy
74,1734859263572929316,1734859263980845316,408,1,noisy
75,1734859265252723316,1734859265660722316,408,1,noisy
76,1734859267277058316,1734859267632828316,356,1,noisy
77,1734859268057950316,1734859268468844316,411,1,noisy
78,1734859269496817316,1734859269928888316,432,1,noisy
79,1734859278272831316,1734859278616970316,344,1,noisy
80,1734859279180740316,1734859279400981316,220,1,noisy
81,1734859282577168316,1734859282956908316,380,1,noisy
82,1734859283116912316,1734859283408836316,292,1,noisy
83,1734859283728799316,1734859284148723316,420,1,noisy
84,1734859284248879316,1734859284844792316,596,1,noisy
85,1734859286252858316,1734859286772879316,520,1,noisy
86,1734859288104931316,1734859288505008316,400,1,noisy
87,1734859289877076316,1734859290280811316,404,1,noisy
88,1734859291728797316,1734859292144847316,416,1,noisy
105,1734859324840809316,1734859325316876316,476,2,quiet
106,1734859327260803316,1734859327664836316,404,2,quiet
107,1734859329104710316,1734859329584814316,480,2,quiet
108,1734859331104818316,1734859331580879316,476,2,quiet
109,1734859332812837316,1734859333285115316,472,2,quiet
110,1734859334180870316,1734859334580726316,400,2,quiet
111,1734859335680843316,1734859336129026316,448,2,quiet
112,1734859337444863316,1734859337840851316,396,2,quiet
113,1734859340280808316,1734859340644732316,364,2,quiet
114,1734859341288834316,1734859341692910316,404,2,quiet
115,1734859342892833316,1734859343272816316,380,2,quiet
116,1734859344368800316,1734859344752814316,384,2,quiet
117,1734859345824860316,1734859346204953316,380,2,quiet
118,1734859347780882316,1734859348012857316,232,2,quiet
119,1734859348549105316,1734859348952821316,404,2,quiet
120,1734859349976823316,1734859350380935316,404,2,quiet
121,1734859352644789316,1734859353064856316,420,2,quiet
122,1734859353965026316,1734859354352848316,388,2,quiet
123,1734859359556893316,1734859359888790316,332,2,quiet
124,1734859364400863316,1734859364772870316,372,2,quiet
125,1734859372904874316,1734859373296851316,392,2,quiet
126,1734859375016824316,1734859375548828316,532,2,quiet
127,1734859375984824316,1734859376464994316,480,2,quiet
128,1734859377700895316,1734859378148870316,448,2,quiet
129,1734859379332849316,1734859379780919316,448,2,quiet
130,1734859383848797316,1734859384216795316,368,2,quiet
131,1734859386060870316,1734859386424829316,364,2,quiet
132,1734859387120888316,1734859387528911316,408,2,quiet
133,1734859388548720316,1734859388932928316,384,2,quiet
134,1734859390364719316,1734859390764736316,400,2,quiet
135,1734859391592902316,1734859392016880316,424,2,quiet
136,1734859393004742316,1734859393376890316,372,2,quiet
137,1734859394944813316,1734859395332985316,388,2,quiet
138,1734859396701054316,1734859397052936316,352,2,quiet
139,1734859401772844316,1734859402224911316,452,2,quiet
140,1734859403760816316,1734859404164913316,404,2,quiet
141,1734859406448809316,1734859406752812316,304,2,quiet
142,1734859406812811316,1734859407228957316,416,2,quiet
143,1734859408880892316,1734859409288850316,408,2,quiet
144,1734859412996738316,1734859413348722316,352,2,quiet
145,1734859413377118316,1734859413848836316,472,2,quiet
146,1734859417800810316,1734859418260797316,460,2,quiet
162,1734859438880816316,1734859439052836316,172,3,noisy
163,1734859439056862316,1734859439556833316,500,3,noisy
164,1734859439868796316,1734859440052901316,184,3,noisy
165,1734859440056833316,1734859440452887316,396,3,noisy
166,1734859442740808316,1734859443156822316,416,3,noisy
167,1734859444012877316,1734859444405064316,392,3,noisy
168,1734859445180805316,1734859445584796316,404,3,noisy
169,1734859445648853316,1734859446052825316,404,3,noisy
170,1734859446264849316,1734859446696840316,432,3,noisy
171,1734859447504868316,1734859447856902316,352,3,noisy
172,1734859447947282316,1734859448164897316,218,3,noisy
173,1734859449368867316,1734859449724854316,356,3,noisy
174,1734859450000831316,1734859450472822316,472,3,noisy
175,1734859450788905316,1734859451292938316,504,3,noisy
176,1734859451373083316,1734859451836953316,464,3,noisy
177,1734859452088808316,1734859452508995316,420,3,noisy
178,1734859452808836316,1734859453060861316,252,3,noisy
179,1734859453065074316,1734859453516799316,452,3,noisy
180,1734859453924932316,1734859454356899316,432,3,noisy
181,1734859455812945316,1734859456188825316,376,3,noisy
182,1734859457920815316,1734859458340873316,420,3,noisy
183,1734859459768820316,1734859460164845316,396,3,noisy
184,1734859462620776316,1734859462996818316,376,3,noisy
185,1734859463428951316,1734859463848981316,420,3,noisy
186,1734859464244861316,1734859464700814316,456,3,noisy
187,1734859465464791316,1734859465812894316,348,3,noisy
188,1734859467216830316,1734859467604975316,388,3,noisy
189,1734859468488798316,1734859468660892316,172,3,noisy
190,1734859468664704316,1734859469060938316,396,3,noisy
191,1734859471976792316,1734859472456842316,480,3,noisy
192,1734859474336839316,1734859474824839316,488,3,noisy
193,1734859476020814316,1734859476420815316,400,3,noisy
194,1734859477692965316,1734859478296864316,604,3,noisy
195,1734859481340728316,1734859481640831316,300,3,noisy
196,1734859481648832316,1734859482084955316,436,3,noisy
197,1734859485724823316,1734859486328896316,604,3,noisy
198,1734859487288858316,1734859487588810316,300,3,noisy
199,1734859487768804316,1734859488221120316,452,3,noisy
200,1734859488860711316,1734859489080819316,220,3,noisy
201,1734859489536851316,1734859490012841316,476,3,noisy
202,1734859492836898316,1734859493232798316,396,3,noisy
203,1734859494528794316,1734859494916850316,388,3,noisy
204,1734859496536877316,1734859496936868316,400,3,noisy
205,1734859500252792316,1734859500688732316,436,3,noisy
206,1734859500944827316,1734859501472921316,528,3,noisy
207,1734859501884874316,1734859502400800316,516,3,noisy
208,1734859504596982316,1734859504964720316,368,3,noisy
209,1734859504972803316,1734859505404930316,432,3,noisy
210,1734859507720826316,1734859508136824316,416,3,noisy
211,1734859509620826316,1734859510028872316,408,3,noisy
212,1734859511856912316,1734859512264771316,408,3,noisy
213,1734859512604894316,1734859512956890316,352,3,noisy
214,1734859513388927316,1734859513800844316,412,3,noisy
215,1734859514836943316,1734859515240709316,404,3,noisy
216,1734859516212792316,1734859516604738316,392,3,noisy
217,1734859516608818316,1734859517028877316,420,3,noisy
218,1734859518660724316,1734859519064958316,404,3,noisy
219,1734859520768810316,1734859521153024316,384,3,noisy
220,1734859522004715316,1734859522576723316,572,3,noisy
221,1734859523476956316,1734859523904817316,428,3,noisy
222,1734859526876991316,1734859527253001316,376,3,noisy
223,1734859529664806316,1734859530096842316,432,3,noisy
224,1734859532161081316,1734859532573222316,412,3,noisy
225,1734859535696731316,1734859536092796316,396,3,noisy
226,1734859536920811316,1734859537329471316,409,3,noisy
242,1734859564040815316,1734859564480796316,440,4,noisy
243,1734859565236856316,1734859565560845316,324,4,noisy
244,1734859567556830316,1734859567952795316,396,4,noisy
245,1734859568336807316,1734859568740805316,404,4,noisy
246,1734859569100808316,1734859569492912316,392,4,noisy
247,1734859571408970316,1734859571812843316,404,4,noisy
248,1734859573280870316,1734859573728828316,448,4,noisy
249,1734859576004944316,1734859576448832316,444,4,noisy
250,1734859577208852316,1734859577644913316,436,4,noisy
251,1734859581344731316,1734859581712813316,368,4,noisy
252,1734859582780901316,1734859583176892316,396,4,noisy
253,1734859584868897316,1734859585252813316,384,4,noisy
254,1734859586664736316,1734859587100948316,436,4,noisy
255,1734859587412953316,1734859587817213316,404,4,noisy
256,1734859588832826316,1734859589236906316,404,4,noisy
257,1734859589800824316,1734859590156835316,356,4,noisy
258,1734859590457191316,1734859590940906316,484,4,noisy
259,1734859592192805316,1734859592609116316,416,4,noisy
260,1734859592668837316,1734859593132812316,464,4,noisy
261,1734859593136842316,1734859593540922316,404,4,noisy
262,1734859601288873316,1734859601656817316,368,4,noisy
263,1734859602028829316,1734859602660884316,632,4,noisy
264,1734859603040799316,1734859603457053316,416,4,noisy
265,1734859608524720316,1734859608924837316,400,4,noisy
266,1734859613368830316,1734859613776875316,408,4,noisy
267,1734859615077235316,1734859615528897316,452,4,noisy
268,1734859616924829316,1734859617336815316,412,4,noisy
269,1734859619192907316,1734859619544795316,352,4,noisy
270,1734859619548887316,1734859619984847316,436,4,noisy
271,1734859621504817316,1734859621992818316,488,4,noisy
272,1734859622780927316,1734859623216845316,436,4,noisy
273,1734859624232854316,1734859624596936316,364,4,noisy
274,1734859624956906316,1734859625344789316,388,4,noisy
275,1734859626876895316,1734859627256847316,380,4,noisy
276,1734859628516800316,1734859629192843316,676,4,noisy
277,1734859629896774316,1734859630300970316,404,4,noisy
278,1734859631004848316,1734859631368820316,364,4,noisy
279,1734859633104808316,1734859633404861316,300,4,noisy
280,1734859633444727316,1734859633892735316,448,4,noisy
281,1734859635884715316,1734859636300859316,416,4,noisy
282,1734859637748795316,1734859638153105316,404,4,noisy
283,1734859645116813316,1734859645412867316,296,4,noisy
284,1734859645840852316,1734859646312808316,472,4,noisy
285,1734859648016821316,1734859648452890316,436,4,noisy
312,1734859686676737316,1734859687320849316,644,5,quiet
313,1734859689108840316,1734859689484804316,376,5,quiet
314,1734859691429036316,1734859691816827316,388,5,quiet
315,1734859692992799316,1734859693384793316,392,5,quiet
316,1734859695536845316,1734859695936928316,400,5,quiet
317,1734859697004868316,1734859697380885316,376,5,quiet
318,1734859699168845316,1734859699568809316,400,5,quiet
319,1734859699988816316,1734859700384791316,396,5,quiet
320,1734859702452815316,1734859702860818316,408,5,quiet
321,1734859704856840316,1734859705284869316,428,5,quiet
322,1734859707636899316,1734859708052809316,416,5,quiet
323,1734859708956816316,1734859709396851316,440,5,quiet
324,1734859709885168316,1734859710356729316,472,5,quiet
325,1734859712384988316,1734859712760828316,376,5,quiet
326,1734859720744815316,1734859721121156316,376,5,quiet
327,1734859722784849316,1734859723188865316,404,5,quiet
328,1734859724329168316,1734859724717303316,388,5,quiet
329,1734859728332877316,1734859728804922316,472,5,quiet
330,1734859729240818316,1734859729808904316,568,5,quiet
331,1734859731768821316,1734859732216860316,448,5,quiet
332,1734859735072711316,1734859735496879316,424,5,quiet
333,1734859737196931316,1734859737568810316,372,5,quiet
334,1734859738292839316,1734859738680823316,388,5,quiet
335,1734859743328733316,1734859743704890316,376,5,quiet
336,1734859745152914316,1734859745544810316,392,5,quiet
337,1734859747376809316,1734859747700793316,324,5,quiet
338,1734859749052834316,1734859749436864316,384,5,quiet
339,1734859751376936316,1734859751704916316,328,5,quiet
340,1734859752048833316,1734859752416827316,368,5,quiet
341,1734859753588865316,1734859753968920316,380,5,quiet
342,1734859757648929316,1734859757984856316,336,5,quiet
343,1734859760896833316,1734859761280744316,384,5,quiet
344,1734859762752838316,1734859763132811316,380,5,quiet
345,1734859764444880316,1734859764804846316,360,5,quiet
346,1734859765100906316,1734859765596893316,496,5,quiet
347,1734859767100941316,1734859767476896316,376,5,quiet
348,1734859768384792316,1734859768752866316,368,5,quiet
349,1734859770208817316,1734859770560811316,352,5,quiet
350,1734859770780800316,1734859771200797316,420,5,quiet
351,1734859772372837316,1734859772780937316,408,5,quiet
352,1734859774064795316,1734859774452867316,388,5,quiet
367,1734859800636947316,1734859800940713316,304,6,quiet
368,1734859801836889316,1734859802232971316,396,6,quiet
369,1734859803608872316,1734859804016790316,408,6,quiet
370,1734859804756865316,1734859805180883316,424,6,quiet
371,1734859806508858316,1734859806908818316,400,6,quiet
372,1734859808424897316,1734859808856818316,432,6,quiet
373,1734859810524870316,1734859810884841316,360,6,quiet
374,1734859811172869316,1734859811548794316,376,6,quiet
375,1734859811800820316,1734859812272792316,472,6,quiet
376,1734859813828889316,1734859814332939316,504,6,quiet
377,1734859815468798316,1734859815916842316,448,6,quiet
378,1734859817016820316,1734859817420902316,404,6,quiet
379,1734859818304873316,1734859818712795316,408,6,quiet
380,1734859819616843316,1734859820036837316,420,6,quiet
381,1734859820861037316,1734859821232812316,372,6,quiet
382,1734859821292921316,1734859821756923316,464,6,quiet
383,1734859824184822316,1734859824580733316,396,6,quiet
384,1734859826252908316,1734859826568731316,316,6,quiet
385,1734859831024933316,1734859831344797316,320,6,quiet
386,1734859831860730316,1734859832232871316,372,6,quiet
387,1734859833932919316,1734859834344800316,412,6,quiet
388,1734859835437012316,1734859835872809316,436,6,quiet
389,1734859835936992316,1734859836436925316,500,6,quiet
390,1734859838068910316,1734859838484824316,416,6,quiet
391,1734859840424724316,1734859840796724316,372,6,quiet
392,1734859841700855316,1734859842088722316,388,6,quiet
393,1734859843264812316,1734859843652825316,388,6,quiet
394,1734859845976862316,1734859846348865316,372,6,quiet
395,1734859847832883316,1734859848244844316,412,6,quiet
396,1734859849904812316,1734859850196937316,292,6,quiet
397,1734859850200843316,1734859850601001316,400,6,quiet
398,1734859852096891316,1734859852477010316,380,6,quiet
399,1734859854452927316,1734859854852865316,400,6,quiet
400,1734859855792852316,1734859856216880316,424,6,quiet
401,1734859857888824316,1734859858280882316,392,6,quiet
402,1734859859152823316,1734859859576828316,424,6,quiet
403,1734859860372975316,1734859860784796316,412,6,quiet
404,1734859861444844316,1734859861912796316,468,6,quiet
405,1734859863060860316,1734859863508895316,448,6,quiet
406,1734859863548880316,1734859863996906316,448,6,quiet
407,1734859867132887316,1734859867484721316,352,6,quiet
408,1734859868568804316,1734859868904802316,336,6,quiet
409,1734859869380915316,1734859869816889316,436,6,quiet
410,1734859872472828316,1734859872856867316,384,6,quiet
411,1734859873196820316,1734859873644919316,448,6,quiet
412,1734859875992809316,1734859876544799316,552,6,quiet
413,1734859877124809316,1734859877636873316,512,6,quiet
414,1734859881520980316,1734859881873009316,352,6,quiet
415,1734859885320833316,1734859885676922316,356,6,quiet
416,1734859886748895316,1734859887128814316,380,6,quiet
417,1734859888420848316,1734859888817511316,397,6,quiet
418,1734859889460839316,1734859889808790316,348,6,quiet
419,1734859890952817316,1734859891384874316,432,6,quiet
433,1734859916816874316,1734859917184734316,368,7,noisy
434,1734859918484719316,1734859918880801316,396,7,noisy
435,1734859921964831316,1734859922340834316,376,7,noisy
436,1734859924872827316,1734859925204995316,332,7,noisy
437,1734859926920834316,1734859927360830316,440,7,noisy
438,1734859929488918316,1734859929900869316,412,7,noisy
439,1734859930580981316,1734859930936716316,356,7,noisy
440,1734859933024810316,1734859933432840316,408,7,noisy
441,1734859934932795316,1734859935360705316,428,7,noisy
442,1734859936256846316,1734859936844858316,588,7,noisy
443,1734859936872859316,1734859937328814316,456,7,noisy
444,1734859937628803316,1734859937964966316,336,7,noisy
445,1734859938028722316,1734859938380883316,352,7,noisy
446,1734859939528855316,1734859939928788316,400,7,noisy
447,1734859940148830316,1734859940612803316,464,7,noisy
448,1734859941616859316,1734859942020723316,404,7,noisy
449,1734859946204807316,1734859946580813316,376,7,noisy
450,1734859954748860316,1734859955276931316,528,7,noisy
